dataset,beta,lambda,lambdaBIC,minNodeSize,ACC,NMI,Purity,Fscore,anchorTotal,targetView,iter,algoTime,anchorTime,totalTime
Caltech101-all,10,100,1,40,0.26544728783902,0.433982255907454,0.405074365704287,0.19470784530534,968,5,51,66.027962,28.8082956,94.8362576
Caltech101-all,10,1000,1,40,0.274086832895888,0.443310429802458,0.412839020122485,0.203619993561553,968,5,51,47.9757392,28.8082956,76.7840348
Caltech101-all,10,10000,1,40,0.277859798775153,0.440649691309386,0.412592957130359,0.202150121713319,968,5,51,47.0631133,28.8082956,75.8714089
Caltech101-all,100,100,1,40,0.247594050743657,0.472483461249175,0.456146106736658,0.190182062559674,968,5,51,45.3074418,28.8082956,74.1157374
Caltech101-all,100,1000,1,40,0.248578302712161,0.475311655458265,0.459673009623797,0.19353414095022,968,5,51,45.6739652,28.8082956,74.4822608
Caltech101-all,100,10000,1,40,0.245652887139108,0.473917969693317,0.458880139982502,0.19407684316054,968,5,51,45.1648088,28.8082956,73.9731044
Caltech101-all,10,100,1,80,0.275344488188976,0.447142013655918,0.423583770778653,0.219001250734927,515,5,51,38.0593619,23.7523295,61.8116914
Caltech101-all,10,1000,1,80,0.280238407699038,0.451493400525845,0.428997156605424,0.226553136199233,515,5,51,37.951481,23.7523295,61.7038105
Caltech101-all,10,10000,1,80,0.279363517060367,0.448818410987529,0.429625984251968,0.220036135399715,515,5,51,37.6033405,23.7523295,61.35567
Caltech101-all,100,100,1,80,0.247047244094488,0.472659548719147,0.453794838145232,0.198093875402895,515,5,51,36.299465,23.7523295,60.0517945
Caltech101-all,100,1000,1,80,0.246035651793526,0.474125150413151,0.453548775153106,0.202555416826234,515,5,51,36.0421725,23.7523295,59.794502
Caltech101-all,100,10000,1,80,0.250656167979003,0.475630925909735,0.457185039370079,0.209595767826744,515,5,51,36.1878106,23.7523295,59.9401401
Caltech101-all,10,100,1,160,0.270641951006124,0.448439755260944,0.414944225721785,0.230942874607483,260,5,51,31.861088,21.0807,52.941788
Caltech101-all,10,1000,1,160,0.255905511811024,0.451947886330405,0.423747812773403,0.219147718394851,260,5,51,31.8193746,21.0807,52.9000746
Caltech101-all,10,10000,1,160,0.254593175853018,0.447736470530502,0.422189413823272,0.216568553812177,260,5,51,31.9448856,21.0807,53.0255856
Caltech101-all,100,100,1,160,0.207977909011374,0.450773296662775,0.422189413823272,0.193852742650417,260,5,51,28.5840321,21.0807,49.6647321
